ingredient_name,aliases,category,serving_size,direct_cognitive_benefits,indirect_cognitive_benefits,key_nutrients,mechanisms,calories,mind_diet,mediterranean_diet,dash_diet,anti_inflammatory,gut_health/microbiome_support,carbohydrates_gm,glycemic_index,glycemic_load,protein_gm,fiber_gm
Mulberries (Dried),dried mulberries,Dried fruit,¼ cup (<cupped palm),Mulberries are rich in anthocyanins (especially dark varieties) and fiber. These support gut bacteria and have been used in traditional medicine for brain tonic effects. Their resveratrol and DNJ (1-deoxynojirimycin) content may improve cognitive function by improving metabolic health (DNJ helps regulate blood sugar). There is emerging research that mulberry extracts can protect neurons in models of ParkinsonÃ¢ÂÂs disease via anti-inflammatory mechanisms.,"They help regulate blood sugar Ã¢ÂÂ mulberries can inhibit carbohydrate breakdown (due to DNJ), useful in diabetes management. High vitamin C and iron content support immune health and anemia. Regular mulberry intake can improve lipid profiles and reduce fatty liver. Also noted for anti-aging effects on skin. White mulberry supplements are popular for blood sugar control. Fresh mulberries are delicate but very nutritious.","Anthocyanins, flavonoids, vitamin C, fiber","Antioxidant, anti-inflammatory, metabolic health",90,yes,yes,no,yes,prebiotic,22.5,0.0,7.5,3.0,11.0
Mung Beans,,Beans,½ cup cooked (small fist),"Mung beans are notable for their prebiotic polysaccharides; in fermented form (e.g., sprouts), they encourage Lactobacilli growth. Animal studies have shown improved learning and memory with mung bean extracts, attributed to reduced oxidative stress and AChE inhibitory activity. In human diets, replacing refined grains with mung bean (as starch or noodles) lowers glycemic load, benefiting cognitive function indirectly.","Mung beans have remarkable cholesterol-lowering effects Ã¢ÂÂ a meta-analysis found significant reductions in LDL with daily mung bean intake (often as sprouts or soup). They are rich in folate and magnesium, supporting heart health. Also contain polyphenols (vitexin, isovitexin) that are anti-hypertensive and anti-diabetic. Mung bean soup is used in Asia for cooling (anti-inflammatory) properties. Sprouts add vitamin C. Overall excellent for metabolic syndrome improvement.","Protein, fiber, minerals, polyphenols","Heart health, digestive health, antioxidant",105,yes,yes,yes,yes,prebiotic,22.5,31.0,7,24.0,16.0
Mushrooms,,Mushrooms (General Edible Mushrooms; LionÃ¢ÂÂs Mane),½ cup,"Many edible mushrooms (shiitake, oyster, maitake, etc.) contain prebiotic polysaccharides like ÃÂ²-glucans that nourish gut microbes and enhance production of anti-inflammatory cytokines. Mushroom consumption has been associated with reduced risk of mild cognitive impairment Ã¢ÂÂ a study in seniors found those eating >2 servings/week had 50% lower odds of MCI. Likely due to ergothioneine and other antioxidants that protect neurons, plus the microbiome effects.","Mushrooms boost immunity (ÃÂ²-glucans stimulate immune cells) and have cholesterol-lowering effects (e.g., oyster mushrooms contain lovastatin-like compounds). They provide vitamin D2 (especially UV-exposed mushrooms), selenium, and B-vitamins. Mushrooms are also being studied for anti-cancer properties (e.g., shiitake lentinan). As a low-calorie, high-fiber food, they aid weight management. Culinary mushrooms also contribute umami flavor, helping reduce added salt in recipes.","Polysaccharides (?-glucans), ergothioneine, vitamins (D, B), minerals, terpenoids, phenolics, hericenones, erinacines (LionÃ¢ÂÂs Mane)","Immune support, antioxidant, neuroprotection, anti-inflammatory",85,yes,no,no,no,prebiotic,2.5,10.0,0.3,3.1,1.0
Mustard Greens,salad,Green Leafy Vegetables,1 cup raw / ½ cup cooked (1 handful),"Similar to kale/collards, mustard greens are high-fiber, nutrient-packed leafy greens. They support a healthy microbiome and provide glucosinolates that reduce inflammation. Their peppery flavor comes from isothiocyanates, compounds which have been shown to protect neurons in animal models of stroke. Regular consumption of leafy brassica greens correlates with slower cognitive decline.","Mustard greens are rich in vitamin K, C, and A, supporting bone health and immunity. They help detoxify the body by activating liver enzymes. Also known to have cholesterol-lowering ability by binding bile acids (especially when steamed). Contain folate and B6, which reduce homocysteine levels (beneficial for heart). Their strong flavor can help in reducing the need for added fats or salts in a dish.","
","
",10,yes,yes,yes,yes,prebiotic,1.5,15.0,0.4,2.7,3.2
Natto,,Legumes,½ cup cooked (small fist),"Natto is fermented soybeans (with Bacillus subtilis). It is exceptionally high in vitamin KÃ¢ÂÂ and nattokinase enzyme. NattoÃ¢ÂÂs Bacillus is a spore-forming probiotic that can survive GI passage. Regular natto consumption has been associated with better bone health and possibly better cognitive function in Japan (though cognitive data is limited). The idea is that nattokinase improves blood flow (by breaking down fibrin), potentially benefiting brain circulation.","Extremely heart-healthy: natto consumption correlates with reduced cardiovascular mortality, likely due to its blood-thinning nattokinase and high KÃ¢ÂÂ which prevents arterial calcification. Probiotic Bacillus in natto can support gut health and immunity. Also provides complete plant protein. Its strong smell/slimy texture can be off-putting, but those who eat it regularly have lower blood pressure and clotting risk. Caution if on blood thinners.","Protein, isoflavones, fiber, minerals, peptides, probiotics","Gut health, antioxidant, anti-inflammatory",95,no,no,no,yes,prebiotic;probiotic;postbiotic,6.0,15.0,10,18.0,5.0
Navy Beans,,Beans,½ cup cooked (small fist),"A type of small white bean extremely rich in fiber (one of the highest fiber beans). They act as prebiotics, promoting SCFA production that can reduce neuroinflammation. B-vitamin and mineral content (folate, magnesium) support cognitive function. Diets high in legumes like navy beans have been linked to significantly better cognitive test scores in older populations (likely via vascular risk reduction).",Navy beans strongly improve lipid profiles and glycemic control. They are part of the Ã¢ÂÂPortfolio DietÃ¢ÂÂ for cholesterol lowering (can reduce LDL 5% or more). High in folate for reducing homocysteine and supporting heart health. Also an excellent source of plant protein and iron. Regular bean intake (including navy) is associated with lower blood pressure due to potassium and less sodium in the diet.,"Protein, fiber, polyphenols, minerals","Antioxidant, heart health, digestive health",120,yes,yes,yes,yes,prebiotic,22.5,31.0,7,22.0,15.0
Oat-based Bars,,Brain-Healthy Snacks,Small handful or 1 portion pack,"If made primarily of oats (not too much added sugar), these bars provide ÃÂ²-glucan soluble fiber which acts as a prebiotic and has been associated with improved gut permeability and reduced inflammation. Consuming oat ÃÂ²-glucans can also improve cognitive function indirectly via cholesterol lowering and improved cerebrovascular health. Choose bars with nuts/fruits for added brain nutrients.","Oat ÃÂ²-glucan is proven to lower LDL cholesterol (3g/day can lower LDL by 5-7%). Oats also help stabilize blood sugar and maintain a healthy weight. Oat bars can be convenient sources of iron and whole-grain energy. However, watch out for high sugar content; look for bars with minimal added sugars and natural ingredients. Some oat bars also contain prebiotic fibers like inulin or added seeds, boosting their overall health profile.",Bioactive peptides; Oleamide; Calcium; B12; Probiotics,"Reduces neuroinflammation, supporting neurotransmitter balance, and promoting brain health; Inhibit monoamine oxidase-B, increase dopamine; Enhances microglial A? clearance",150,yes,yes,yes,no,prebiotic,22.5,50.0,50,7.0,6.0
Oats/Oat Groats/Steel Cut/Rolled,"oats, oat groats, rolled oats, steel cut oats",Whole Grains,½ cup cooked / 1 slice bread (½ fist),"Oats are one of the best whole grains for microbiome and brain health. Rich in ÃÂ²-glucan prebiotic fiber that increases butyrate-producing gut bacteria. Oat consumption is linked to better cognitive performance through improved cardiovascular health (lower cholesterol) and possibly direct gut-brain communication (SCFAs from oat fermentation reduce neuroinflammation). Steel-cut and groats are less processed, retaining more nutrients.","Strong evidence for cardiovascular benefits: oats consistently lower LDL and total cholesterol. They improve endothelial function and reduce arterial plaque formation. Oats also aid blood sugar control due to viscous fiber slowing carbohydrate absorption. Additionally, they are naturally gluten-free (if uncontaminated), and contain unique antioxidants (avenanthramides) that have anti-inflammatory effects, including enhancing nitric oxide production for blood flow.","Soluble fiber (?-glucans), protein, minerals, B vitamins, phenolic compounds, plant sterols","Heart health, glycemic control, gut health, cholesterol-lowering",75,yes,yes,yes,no,prebiotic,22.5,55.0,13,13.0,10.0
Olives,,Fruit,½ cup (cupped palm),"Olive polyphenols (such as hydroxytyrosol and oleuropein) and extra virgin olive oil improve cognitive performance, memory, attention, executive function, and global cognition in older adults and those with mild cognitive impairment. These effects are linked to antioxidant, anti-inflammatory, neuroprotective, and blood-brain barrier-enhancing properties, as well as reduced amyloid-beta and tau pathology. Olive-derived compounds also promote autophagy, modulate mitochondrial function, and reduce neuroinflammation and oxidative stress in both animal and human studies.","Regular olive and olive oil consumption, especially as part of the Mediterranean or MIND diets, is associated with reduced risk of cognitive decline, dementia, and AlzheimerÃ¢ÂÂs disease. Indirect benefits include improved cardiovascular and metabolic health, reduced inflammation, and better lipid profiles, all of which are risk factors for cognitive impairment. Olive biophenols may also support healthy aging and protect against neurodegenerative diseases through hormetic activation of cellular defense pathways.","Vitamin C, fiber, polyphenols, minerals",,9,yes,yes,yes,yes,prebiotic,1.5,0.0,0,1.0,3.2
Olive Oil,,Oils,1 - 2 tbsp,"EVOO is a cornerstone of the Mediterranean diet, strongly associated with better cognitive function and lower dementia risk. It contains polyphenols (oleuropein, hydroxytyrosol) that beneficially modulate gut microbiota and reduce gut inflammation. These polyphenols and MUFAs improve synaptic function and reduce beta-amyloid accumulation in the brain (shown in animal models). EVOO consumption leads to higher levels of brain-supportive gut metabolites and improved neurovascular health.","One of the most heart-healthy fats: EVOO consistently shows reductions in heart attack and stroke risk in human trials (PREDIMED trial: high-EVOO diet lowered CVD by 30%). Lowers inflammatory markers (CRP, IL-6) and improves endothelial function. The high monounsaturated fat content favorably affects lipid profiles (can raise HDL). Also beneficial for blood pressure when replacing butter. Antioxidants in olive oil protect LDL from oxidation. Use cold or moderate heat to preserve polyphenols.","MUFA (oleic acid), polyphenols (hydroxytyrosol), vitamin E, squalene, phytosterols, carotenoids","Antioxidant and anti-inflammatory effects, improved bloodÃ¢ÂÂbrain barrier function, reduced amyloid-? and tau pathology, enhanced brain connectivity, modulation of oxidative stress and neuroinflammation.",15,yes,yes,yes,yes,no,0.0,15.0,0.5,0.0,0.0
Onions,salad,Vegetables,1 cup raw / ½ cup cooked (1 handful),"Onions are rich in fructooligosaccharides (FOS) which are classic prebiotic fibers. Regular onion intake increases beneficial gut flora and the production of SCFAs that can reduce neuroinflammation. Onions also contain quercetin, an antioxidant flavonoid that has been shown to improve memory in animal studies by mitigating oxidative stress. Including onions in the diet is associated with lower rates of stomach cancer and possibly better cognitive resilience (though hard to isolate, as theyÃ¢ÂÂre usually part of a veggie-rich diet).","Onions have anti-inflammatory and anti-thrombotic effects (thanks to quercetin). They can help lower blood sugar Ã¢ÂÂ studies indicate improved insulin sensitivity with onion extract. Also associated with improved bone density in peri-menopausal women (likely via onionÃ¢ÂÂs GPCS compound slowing bone loss). They provide chromium, which helps with glucose metabolism. Onions also have cardiovascular benefits: their sulfur compounds can prevent platelet aggregation and improve cholesterol profiles modestly. Best consumed raw or lightly cooked to preserve FOS and flavonoids.","Vitamins (C, B6), minerals, flavonoids, sulfur compounds","Antioxidant, cardiovascular health, anti-inflammatory",30,no,no,no,no,prebiotic,2.5,10.0,0.4,1.1,1.7
Orange,Oranges,Fruit,1 medium,"Oranges offer fiber (especially in the pulp) and a high dose of vitamin C and hesperidin, a flavonoid. The fiber acts as a prebiotic to some extent, and hesperidin has been shown to improve cognitive function in older adults by enhancing cerebral blood flow. One study found 8-week intake of orange juice improved global cognitive function in the elderly, attributed to polyphenols. Whole oranges are preferable to juice, as the fiber reduces sugar spikes and feeds gut microbes.","Citrus flavonoids in oranges improve endothelial function and lower blood pressure. Regular orange intake is associated with lower stroke risk (vitamin C and potassium contribute to this). Oranges also boost immune function and skin health. They contain folate for heart and brain health. In studies, 100% orange juice consumption did not adversely affect weight and provided improved diet quality. However, due to sugar, whole fruit or limited juice (4Ã¢ÂÂ6 oz) is recommended.","Vitamin C, flavonoids, carotenoids, dietary fiber, essential oils","Antioxidant, immune support, anti-inflammatory",60,yes,yes,yes,yes,prebiotic,17.5,43.0,4,0.9,2.4
Paprika,,Spices,½Ã¢ÂÂ1 tsp,"Paprika (made from dried peppers) contains capsaicin (if hot variety) and carotenoids like beta-carotene and lutein. While used in small quantities, these compounds can modulate gut bacteria and reduce intestinal inflammation. Lutein from paprika may accumulate in the brain (notably, high brain lutein is associated with better cognition in older adults). Paprika also provides a small amount of fiber and a lot of flavor, which can indirectly benefit health by making healthy foods more palatable.","Rich in antioxidants: especially vitamin A (as carotenoids) and vitamin E. Paprika has anti-inflammatory properties and can help improve circulation (especially the hot kind with capsaicin). It also contains iron. By using paprika and other spices, one can reduce the need for salt, thus aiding blood pressure control. The carotenoids support eye health and might reduce risk of macular degeneration. Overall, a healthful spice to include regularly.","Carotenoids (?-carotene, lutein, capsanthin, capsorubin, zeaxanthin), vitamin C (ascorbic acid), vitamin E (?- and ?-tocopherol), polyphenols, flavonoids, capsaicinoids (capsaicin, dihydrocapsaicin, nordihydrocapsaicin), ?-sitosterol, ?-citraurin, chlorophyll, tannins, free sugars (fructose, glucose), organic acids (succinic acid), amino acids (aspartic acid, glutamic acid), minerals (potassium, phosphorus, magnesium), fatty acids (linoleic, palmitic, stearic)","Reduces neuroinflammation, supporting neurotransmitter balance, and promoting brain health; Inhibit monoamine oxidase-B, increase dopamine; Enhances microglial A? clearance",6,no,no,no,no,no,1.5,5.0,1,14.0,35.0
Parmesan Cheese,,Aged/Hard Fermented Cheese,1 cup,"Aged hard cheese, very low in lactose and rich in umami glutamates. ParmesanÃ¢ÂÂs long fermentation (12+ months) produces bioactive peptides that may have hypotensive effects. Not directly tied to cognitive improvements, but in small amounts can enhance diet enjoyment without large metabolic harm (due to strong flavor, you use less). The protein content (all 9 amino acids) supports neurotransmitters. But as with all high-sat-fat cheeses, moderation is critical for vascular health which in turn affects the brain.","Parmesan is extremely high in calcium and phosphorus, supporting bone strength. Its protein is highly bioavailable. Contains casein phosphopeptides that enhance mineral absorption (good for teeth). Some studies note that despite being high in salt, hard cheese consumption didnÃ¢ÂÂt raise blood pressure as much as expected, possibly due to those biopeptides. Also provides vitamin B12 and selenium. A little can go a long way in flavor, helping people stick to healthier diets by not feeling deprived.","Protein, calcium, B vitamins, bioactive peptides (antihypertensive, antioxidant, antimicrobial), vitamin K2 (notably in aged/fermented types), minerals","Bone health, muscle support, blood pressure regulation, cardiovascular health, immune support",110,no,yes,no,yes,probiotic;postbiotic,0.5,0.0,0,35.0,0.0
Passion Fruit,,Berries,1 Medium,"Passion fruit is high in soluble fiber (the seedy pulp) and contains unique polyphenols and carotenoids. Its fiber supports gut bacteria and the fruitÃ¢ÂÂs calming alkaloids have been traditionally used to reduce anxiety (indicating possible GABA modulation). While specific cognitive studies are lacking, the fruitÃ¢ÂÂs high antioxidant content can protect the brain from oxidative stress.","The seeds are rich in Piceatannol, an antioxidant linked to improved insulin sensitivity and skin health. Passion fruit intake has shown improvements in asthma symptoms (probably due to anti-inflammatory flavonoids in the purple variety). High vitamin C boosts immunity and collagen for vessels. Some evidence suggests passion fruit peel extract reduces blood pressure and improves joint mobility in osteoarthritis. Eating the whole pulp (with seeds) yields cardiovascular benefits from fiber and potassium.","Polyphenols (e.g., flavonoids: homoorientin, vitexin, isovitexin, orientin). Scirpusin B, piceatannol. Vitamin C, carotenoids. Fiber. Flavonoid C-glycosides","Antioxidant, anti-inflammatory, neuroprotective; reduce oxidative stress and inflammation linked to cognitive decline. Anti-acetylcholinesterase. Supports immune function.",45,yes,no,yes,yes,prebiotic,12.5,30.0,4,2.2,10.0
Peanuts,,Legumes,½ cup cooked (small fist),"Though technically legumes, peanuts are consumed as nuts and have similar benefits. They contain fiber and polyphenols (particularly in the skin) that feed beneficial gut microbes. A large study showed higher peanut intake was associated with better cognitive scores in older adults, likely because of niacin and vitamin E content. PeanutsÃ¢ÂÂ resveratrol (small amount) and coumaric acid also contribute to neuroprotection.","Regular peanut consumption (including peanut butter) is linked to a reduced risk of coronary heart disease due to improvements in lipid profiles and anti-inflammatory effects. Rich in arginine, peanuts promote blood flow. They also provide Coenzyme Q10 and biotin. While salted peanuts can add sodium, unsalted or lightly salted is preferable. Peanuts are calorically dense but have been associated with better weight control when eaten as snacks (due to satiety). They do not raise blood sugar (low-carb).","Protein, healthy fats, fiber, polyphenols, resveratrol","Heart health, antioxidant, anti-inflammatory",15,no,no,no,no,prebiotic,4.5,14.0,0,25.0,8.0
Pecans,,Nuts,1 oz (small handful),"Pecans have one of the highest antioxidant capacities among nuts (rich in polyphenols, especially tannins). They provide fiber to support gut microbes. In a clinical trial, a pecan-rich diet improved spatial memory in older adults and reduced oxidative stress markers. PecansÃ¢ÂÂ vitamin E (gamma-tocopherol) and flavonoids likely help protect neurons from damage.","Pecans significantly lower LDL cholesterol (in one study 10% drop with 20% of calories from pecans). They improve insulin sensitivity in overweight individuals, possibly due to bioactive compounds. Anti-inflammatory effects noted by reduced CRP and oxidized LDL after pecan consumption. However, they are high-calorie, so portion control is needed. The healthy fats (mostly monounsaturated) support heart health similarly to other nuts.","PUFA (alpha-linolenic acid/ALA), polyphenols, ellagitannins, melatonin, phytosterols","Antioxidant, anti-inflammatory, brain and heart health",160,yes,yes,yes,yes,prebiotic,3.5,10.0,0,9.0,10.0
Pinto beans,,Beans,½ cup cooked (small fist),Pinto beans are a staple legume high in fiber (especially raffinose family oligosaccharides) Ã¢ÂÂ potent prebiotics that increase gas but also feed Bifidobacteria. They also contain polyphenols (colored varieties have more). Including pinto beans in meals improves overall diet glycemic load and has been tied to better cognitive function in diabetics (owing to improved glucose control). Folate in pintos lowers homocysteine which benefits cognition.,"Pinto beans significantly improve metabolic parameters: they can lower LDL and blood pressure. A classic study (DASH diet) included beans to successfully reduce hypertension. Pintos are rich in magnesium and potassium, aiding vascular health. They also help maintain a healthy weight through high fiber/protein content. A traditional food in Americas, they have kept generations heart-healthy when consumed as part of a plant-forward diet. The only downside is potential gas, which can be mitigated by proper soaking/cooking or consuming regularly so gut adapts.","Protein, fiber, polyphenols, minerals, Bioactive peptides","Antioxidant, heart health, digestive health",200,yes,yes,yes,yes,prebiotic,22.5,39.0,7,21.0,9.0
Pistachios,,Nuts,1 oz (small handful),"Pistachios are unique among nuts for their content of prebiotic fibers and phytochemicals like lutein and polyphenols. A randomized trial showed that a daily pistachio snack increased beneficial gut bacteria (e.g., Akkermansia) more than almonds, indicating strong prebiotic effect. Improvements in some cognitive domains (like processing speed) have been noted with mixed-nut diets that include pistachios, possibly due to their high levels of vitamin B6 (cofactor in neurotransmitter synthesis).","Pistachios help reduce oxidative stress and inflammation. They have been shown to raise HDL and lower triglycerides when eaten regularly. Despite being 45% fat, their impact on weight is neutral or beneficial because they increase satiety and some fat is not absorbed. Rich in potassium, they can help lower blood pressure. Also notable for containing melatonin, which might improve sleep quality. Their green color signifies lutein and zeaxanthin, supporting eye (and possibly cognitive) health.","MUFA (oleic acid), fiber, vitamin B1, polyphenols, phytosterols","Heart health, antioxidant, anti-inflammatory",118,yes,yes,yes,yes,prebiotic,6.5,15.0,1,20.0,10.0
Plums,,Dried Fruit,1 medium,Fresh plums provide soluble fiber (including pectin) and polyphenols (especially in the skin) that serve as food for gut microbes. They have a moderate glycemic load and can support steady cognitive energy. Some observational data suggests that higher intake of antioxidant-rich fruits like plums is associated with slower brain aging. The anthocyanins in red/purple plums and chlorogenic acids in yellow plums help reduce neuroinflammation.,"Plums improve digestion (mild laxative effect even fresh, due to sorbitol and fiber). Rich in vitamin C and K. They have been shown to modestly reduce blood sugar and triglycerides when eaten before a meal (delaying gastric emptying via fiber). Regular consumption of plums or prunes is linked to improved bone density in postmenopausal women (possibly by reducing inflammation and providing boron). Fresh plums are hydrating and low-calorie, making them a healthy sweet snack that contributes to heart health.","Phenolic compounds (anthocyanins, flavonoids, chlorogenic acid, neochlorogenic acid, caffeic acid, quercetin), carotenoids, vitamins (A, B, C, E, K), minerals (potassium, calcium, magnesium, phosphorus, iron, zinc, selenium), dietary fiber (pectin), organic acids (citric, malic), sugars (sucrose, glucose, fructose, sorbitol), amino acids, and bioactive phytochemicals.",Antioxidant and anti-inflammatory actions by scavenging free radicals and reducing oxidative stress; enhancement of bone formation and inhibition of bone resorption via modulation of osteoblast and osteoclast activity; improvement of cardiovascular health by regulating blood pressure and lipid profiles; support of digestive health through fiber and sorbitol; regulation of glucose metabolism and insulin sensitivity; potential anticancer effects by inhibiting tumor growth and protecting DNA; neuroprotective effects including memory improvement and prevention of neurodegeneration; modulation of immune function and cellular signaling pathways.,30,yes,yes,yes,yes,prebiotic,8.5,40.0,4,0.7,1.4
Polenta (cooked),polenta,Corn,1 cup,"Polenta is a porridge from cornmeal. If made from whole-grain cornmeal, it retains fiber that feeds gut bacteria. Traditional polenta often firms up and when cooled, forms resistant starch which acts as a prebiotic as well. This can benefit gut health and by extension, metabolic and cognitive health (via SCFA production). While polenta itself isnÃ¢ÂÂt uniquely brain-boosting, using whole grain and minimal cheese makes it a neutral or positive part of a brain-healthy diet.","Polenta (whole-grain) provides steady carbs and is generally low in fat. Cooled and reheated polenta has more resistant starch, which can lower the insulin response. ItÃ¢ÂÂs gluten-free and gentle on the stomach. CornÃ¢ÂÂs lutein may help with eye health. Typically served with antioxidant-rich tomato sauce or vegetables in Italy, which adds to its healthfulness. ItÃ¢ÂÂs a better choice than refined pasta for those needing gluten-free options. Instant polenta may be more processed, so stone-ground is preferable.","complex carbohydrates, fiber, some carotenoids (lutein, zeaxanthin), and B vitamins","Fiber and micronutrients may support vascular and metabolic health, indirectly benefiting cognition",160,no,no,no,no,prebiotic,17.5,68.0,50,2.0,1.5
Pork,,Meat,3Ã¢ÂÂ4 oz,"Lean pork (like tenderloin) provides high-quality protein and nutrients like thiamin, which is crucial for glucose metabolism in the brain. On the downside, red meat (including pork) can lead to production of TMAO via gut microbes, a compound linked to cognitive decline in high amounts. Thus, while occasional lean pork can fit in a balanced diet, high consumption is not advised for optimal brain health. Choose lean, unprocessed pork to minimize saturated fat and nitrates.","Pork is rich in iron and zinc (for cognitive development) and B-vitamins (especially B1, B3, B6). Lean pork in moderation can improve muscle mass maintenance. However, diets high in red/processed meats are linked to higher cardiovascular risk; substituting other proteins (fish, poultry, legumes) is associated with heart and longevity benefits. If consuming, opt for grilled or roasted lean cuts and avoid processed forms (bacon, sausage) that carry added salt and preservatives which are harmful.","High-quality protein, B vitamins (thiamin, niacin, B6, B12), minerals (iron, zinc, selenium), creatine, taurine, carnosine, anserine, glutamine, coenzyme Q10, low fat (in lean cuts), variable PUFA/MUFA content","Muscle growth, metabolic health, immune support, antioxidant, cardiovascular health",80,,,,,no,0.0,0.0,0,27.0,0.0
Provolone Cheese,,Aged/Hard Fermented Cheese,1 cup,"Provolone is an aged pulled-curd cheese (like a firmer mozzarella) made with bacterial cultures. It undergoes fermentation, so it contains some peptides and minimal live bacteria by the time of consumption. Not known for cognitive benefits Ã¢ÂÂ consider it similar to other semi-hard cheeses: enjoy for flavor in moderation. Its contribution of protein and calcium is positive, but saturated fat and salt mean high intakes could negatively impact vascular health.","Provolone adds flavor and calcium. It provides vitamin A and B12. Because itÃ¢ÂÂs flavorful, a small amount can suffice in a dish (thus limiting calorie and fat intake). Like other cheeses, some evidence suggests that fermented dairy might have a neutral or slightly positive effect on cardiovascular risk compared to non-fermented dairy, possibly due to the actions of fermentation-derived compounds. Regardless, it should be treated as a treat or condiment in a health-conscious diet.","Protein, calcium, B vitamins, bioactive peptides (antihypertensive, antioxidant, antimicrobial), vitamin K2 (notably in aged/fermented types), minerals","Bone health, muscle support, blood pressure regulation, cardiovascular health, immune support",200,no,yes,No,,probiotic;postbiotic,0.5,0.0,0,26.0,0.0
Prunes,,Dried fruit,¼ cup (<cupped palm),"Prunes are famous for their laxative effect due to high sorbitol and fiber, which indeed feeds gut bacteria and improves bowel regularity. By promoting a healthy gut environment, prunes can indirectly support cognitive health (constipation and poor gut health have been associated with poorer mood/cognition). Prune antioxidants (phenolics) also have been shown to reduce brain inflammation in aging rats and improve memory.","Proven bone health benefits: prunes can actually reverse bone loss in postmenopausal women (rich in vitamin K, boron, and polyphenols that suppress bone breakdown). They significantly increase antioxidant capacity in blood and reduce inflammation. Prunes also lower LDL oxidation, a factor in atherosclerosis. For heart health, they help with satiety (aiding weight control) and provide potassium for blood pressure regulation. Given their natural sweetness, they are a healthier alternative to sugary snacks, though portion control is important for calorie reasons.","Dietary fiber (soluble and insoluble), sorbitol, potassium, vitamin K, vitamin A, vitamin B6, vitamin E, phenolic compounds (chlorogenic acid, neochlorogenic acid, caffeic acid, quercetin, rutin), boron, magnesium, calcium, iron, copper, zinc, manganese, simple sugars (glucose, fructose), and amino acids.",Antioxidant and anti-inflammatory actions via polyphenols and vitamins; inhibition of LDL oxidation; modulation of bone metabolism by enhancing bone formation and inhibiting bone resorption; reduction of pro-inflammatory cytokine secretion; improvement of gut health and laxation through fiber and sorbitol; regulation of lipid metabolism and reduction of LDL cholesterol; support of cardiovascular health; potential anticancer and hepatoprotective effects; modulation of immune pathways and gut microbiota; maintenance of energy metabolism and mitochondrial function.,100,yes,yes,yes,yes,prebiotic,17.5,29.0,10,2.2,7.0
Pumpkin Seeds,,Seeds,1 oz (small handful),"Pumpkin seeds are fiber-rich and contain tryptophan, an amino acid that the gut can convert to serotonin Ã¢ÂÂ known to influence mood and possibly cognitive function. Their fiber feeds gut bacteria, and the magnesium within is crucial for learning and memory. Some studies on magnesium supplementation (pumpkin seeds being an excellent natural source) show improved brain plasticity.","One of the best dietary sources of magnesium and zinc Ã¢ÂÂ critical for heart rhythm, immune health, and testosterone levels. Regular consumption can help lower blood pressure (magnesium, potassium) and improve glycemic control. The omega-6 and omega-9 fatty acids in pepitas, along with phytosterols, contribute to lower LDL cholesterol. Also contain anti-parasitic compounds and have traditionally been used to support prostate health. Lightly roasting enhances flavor while retaining most nutrients.","Protein, healthy fats, fiber, vitamins, minerals, sterols, phenolic compounds","Antioxidant, anti-obesity, heart health, metabolic support",35,no,no,no,yes,prebiotic,2.5,25.0,1,19.0,6.0
Purple Corn,,Corn,1 cup,"Purple corn is exceptionally high in anthocyanins (even more than blueberries by weight) and has fiber, making it a potent prebiotic food. Animal studies using purple corn extract showed improved cognitive function and reduced neuroinflammation due to these anthocyanins. Consuming products made with purple corn (like pito in Andes or purple corn tortillas) would give similar gut-brain benefits as other anthocyanin foods Ã¢ÂÂ improved vascular health and antioxidant support in the brain.","Purple corn anthocyanins have demonstrated strong anti-obesity and anti-diabetic effects in rodent studies (reducing body fat and improving insulin sensitivity). Human relevant data: a purple corn drink lowered inflammation markers in a small trial. ItÃ¢ÂÂs also being researched for anti-cancer properties (e.g., colon cancer cells). Nutritionally, itÃ¢ÂÂs a whole grain, so it contributes to heart health and digestive health like other whole grains, with the added benefit of deep pigment antioxidants.","complex carbohydrates, fiber, some carotenoids (lutein, zeaxanthin), and B vitamins","Fiber and micronutrients may support vascular and metabolic health, indirectly benefiting cognition",150,yes,yes,no,no,prebiotic,22.5,65.0,60,8.0,7.0
Quinoa,,Whole Grains,½ cup cooked / 1 slice bread (½ fist),"Quinoa is a pseudo-grain (seed) high in protein, fiber, and polyphenols. It serves as a prebiotic in the gut Ã¢ÂÂ one study showed quinoa increased beneficial gut bacteria and SCFA production when used to replace other grains. Its low glycemic and high nutrient profile support cognitive health by providing steady energy and micronutrients (iron, zinc) essential for brain function. Research in aged mice indicated quinoa intake improved memory and anxiety levels, likely via antioxidant and anti-inflammatory pathways.","Quinoa is gluten-free and has a complete amino acid profile, making it great for heart health (helps maintain muscle and metabolism). ItÃ¢ÂÂs been found to lower triglycerides and LDL in human trials when it replaces refined carbs, partly due to its fiber and saponins. Also rich in magnesium (helps blood pressure) and quercetin and kaempferol (flavonoids that combat inflammation). QuinoaÃ¢ÂÂs higher satiety can aid weight management. It cooks quickly and can be used in place of rice for more nutritional punch.","Complete protein, fiber, vitamins, minerals, phenolics, flavonoids, betacyanins, carotenoids, tocopherols","Antioxidant, anti-inflammatory, antihypertensive, antidiabetic, anticancer",90,yes,yes,yes,yes,prebiotic,22.5,53.0,13,14.0,7.0
